rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis;Passes completados_man;Passes completados_vis;Laterais cobrados_man;Laterais cobrados_vis
32;Sport;Bahia;2;0;57%;43%;18;9;6;2;4;5;8;2;9;20;10;3;5;1;2;4;16;8;3;0;444;335;9;17;130;94;69;32;;;;;;;;
32;Athletico-PR;Flamengo;2;1;41%;59%;11;12;8;2;1;4;2;6;12;24;3;3;4;1;1;6;20;11;2;0;382;558;16;16;69;150;32;69;;;;;;;;
32;Ceará;Palmeiras;2;1;40%;60%;9;12;3;4;5;5;1;3;20;12;2;7;3;6;3;1;9;16;4;5;340;480;16;6;86;92;36;57;1;0;;;;;;
32;Internacional;Grêmio;2;1;46%;54%;17;9;5;3;5;4;7;2;16;18;6;1;0;1;2;3;19;15;2;2;383;462;6;19;100;118;44;38;;;;;;;;
32;Vasco;Atlético-MG;3;2;25%;75%;6;17;3;4;2;9;1;4;11;14;2;9;0;0;2;0;15;11;4;1;233;679;13;11;61;156;11;85;;;;;;;;
32;São Paulo;Coritiba;1;1;64%;36%;18;10;6;3;11;5;1;2;16;20;7;2;1;0;2;5;19;16;1;2;640;367;13;9;158;76;62;25;;;;;;;;
31;Corinthians;Sport;3;0;61%;39%;20;10;12;4;6;4;2;2;9;11;6;5;2;3;4;9;9;7;1;0;546;347;13;8;118;105;70;31;;;;;;;;
31;Flamengo;Palmeiras;2;0;51%;49%;15;6;6;0;4;4;5;2;17;27;4;1;1;2;0;4;26;15;2;2;463;446;7;17;115;93;42;28;;;;;;;;
31;Fortaleza;Santos;2;0;47%;53%;10;12;3;3;4;8;3;1;14;23;7;5;4;1;3;1;20;14;3;0;338;378;18;13;101;70;39;31;;;;;;;;
31;Goiás;Ceará;0;4;56%;44%;14;12;2;4;9;3;3;5;12;12;6;1;1;0;0;2;12;10;1;0;481;384;13;13;158;78;58;29;;;;;;;;
31;Red Bull Bragantino;Vasco;4;1;53%;47%;20;8;9;4;8;3;3;1;16;13;3;3;1;0;3;5;12;17;;;520;455;23;12;127;106;56;35;;;;;;;;
31;São Paulo;Internacional;1;5;71%;29%;11;19;5;7;4;8;2;4;21;15;7;2;0;2;2;4;15;19;2;1;616;255;8;15;125;94;38;28;;;;;;;;
31;Coritiba;Fluminense;3;3;41%;59%;8;20;4;5;4;10;0;5;11;22;2;12;1;1;2;1;21;10;1;4;336;460;21;15;71;139;11;79;1;1;;;;;;
31;Grêmio;Atlético-MG;1;1;58%;42%;8;10;3;4;3;4;2;2;9;11;3;1;1;2;3;2;11;7;1;1;636;470;9;21;130;105;52;31;;;;;;;;
31;Bahia;Athletico-PR;1;0;40%;60%;11;12;4;1;6;7;1;4;16;18;9;4;3;2;1;3;15;14;2;0;346;526;14;12;85;146;48;55;;;;;;;;
31;Botafogo;Atlético-GO;1;3;48%;52%;17;14;5;5;7;4;5;5;15;19;3;6;1;1;2;4;18;14;2;3;366;386;19;14;113;113;42;46;;;;;;;;
30;Goiás;Flamengo;0;3;41%;59%;9;12;3;6;3;4;3;2;16;25;4;5;1;3;3;3;24;13;5;1;358;531;18;13;99;125;40;58;;;;;;;;
28;Palmeiras;Corinthians;4;0;57%;43%;15;10;8;4;5;3;2;3;11;17;7;7;3;0;4;4;14;11;2;3;427;325;10;9;113;78;38;46;0;1;;;;;;
30;Ceará;Red Bull Bragantino;1;2;37%;63%;12;15;3;7;7;4;2;4;15;12;6;9;1;0;5;2;13;16;1;2;288;492;12;18;74;138;39;75;;;;;;;;
30;Internacional;Fortaleza;4;2;45%;55%;11;10;5;2;4;4;2;4;18;24;6;1;0;1;0;1;24;17;0;3;353;442;9;9;100;93;38;32;;;;;;;;
30;Atlético-MG;Atlético-GO;3;1;60%;40%;22;13;6;3;10;5;6;5;16;13;10;9;0;2;2;3;13;14;2;3;544;357;13;6;111;87;52;32;;;;;;;;
30;Athletico-PR;São Paulo;1;1;41%;59%;8;9;3;2;2;4;3;3;22;10;1;3;0;8;1;2;10;14;2;1;374;547;15;8;47;92;18;28;;;;;;;;
30;Santos;Botafogo;2;1;59%;41%;23;6;5;3;11;2;7;1;27;9;15;6;2;3;2;3;8;24;2;1;408;283;11;16;68;55;59;15;;;;;;;;
30;Vasco;Coritiba;0;1;52%;48%;10;13;3;4;4;4;3;5;13;10;10;2;1;0;3;3;10;13;2;2;505;467;9;25;124;90;57;34;1;0;;;;;;
30;Fluminense;Sport;1;0;65%;35%;11;10;1;0;8;7;2;3;19;25;5;4;2;1;0;0;23;18;1;1;531;270;14;13;109;90;32;37;0;1;;;;;;
30;Palmeiras;Grêmio;1;1;45%;55%;16;12;6;7;8;3;2;2;10;23;3;7;2;0;6;5;22;10;3;1;430;530;13;16;107;88;40;37;;;;;;;;
29;Corinthians;Fluminense;5;0;58%;42%;19;13;8;2;4;5;7;6;18;17;3;3;1;3;2;3;17;15;1;2;511;367;13;9;112;112;57;27;;;;;;;;
29;Red Bull Bragantino;Atlético-MG;2;2;44%;56%;11;19;4;6;2;7;5;6;12;14;6;6;0;1;4;2;15;11;4;0;389;491;16;15;84;121;19;65;;;;;;;;
29;Vasco;Botafogo;3;0;50%;50%;18;12;7;5;4;5;7;2;15;11;6;3;0;4;5;4;11;13;1;0;459;457;21;21;118;108;53;51;;;;;;;;
29;Atlético-GO;Bahia;1;1;42%;58%;13;16;5;4;5;4;3;8;18;23;6;6;3;1;3;4;20;18;2;0;299;417;23;21;89;107;69;49;;;;;;;;
29;Internacional;Goiás;1;0;41%;59%;10;14;3;4;5;5;2;5;15;16;6;2;2;1;4;2;14;14;0;2;331;477;15;21;117;127;40;45;;;;;;;;
29;Flamengo;Ceará;0;2;75%;25%;21;8;5;4;12;1;4;3;9;12;6;1;3;0;2;5;10;12;3;1;677;232;18;19;163;75;100;28;;;;;;;;
