rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis
27;Flamengo;Cuiabá;0;0;71%;29%;16;2;4;0;7;1;5;1;10;14;12;2;1;2;26;25;0;4;12;7;1;1;692;300;21;22;202;80;130;33;;
27;Sport;Santos;0;0;46%;54%;14;10;3;2;7;3;4;5;14;14;8;4;0;2;19;17;2;3;14;11;1;3;373;452;21;12;107;110;50;39;;
27;Atlético-GO;Atlético-MG;2;1;36%;64%;9;22;4;3;3;10;2;9;7;9;3;8;1;1;14;23;2;2;8;7;1;0;332;596;16;26;79;117;29;88;;
27;Ceará;Red Bull Bragantino;2;2;59%;41%;23;19;9;6;9;8;5;5;14;16;11;1;2;0;32;19;4;7;13;14;2;7;460;328;20;13;143;91;52;32;;
27;Grêmio;Juventude;3;2;55%;45%;14;6;7;3;4;3;3;0;15;25;6;1;1;0;20;35;1;4;24;15;1;3;486;405;24;12;102;100;48;32;;
27;Athletico-PR;Fluminense;0;1;52%;48%;16;6;6;2;6;3;4;1;16;22;6;1;0;1;17;34;1;6;22;15;2;1;438;419;29;19;139;101;54;33;;
27;Palmeiras;Internacional;1;0;52%;48%;16;14;3;4;11;5;2;5;18;20;5;6;4;0;10;21;4;2;13;21;3;4;449;419;20;16;112;93;53;28;0;1
27;América-MG;Bahia;0;0;54%;46%;15;13;5;3;6;7;4;3;25;15;8;7;3;2;27;30;3;5;12;22;1;2;381;322;10;20;127;88;68;36;;
27;Chapecoense;Fortaleza;1;2;38%;62%;8;14;1;5;6;6;1;3;16;21;3;3;2;4;18;25;3;0;20;12;3;1;291;498;17;9;94;126;34;43;;
26;Cuiabá;Sport;1;0;54%;46%;16;12;8;3;5;8;3;1;12;21;2;5;2;1;23;13;3;7;14;8;4;0;491;394;24;17;122;110;64;47;;
