rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Passes completados_man;Passes completados_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis
8;Estoril;Gil Vicente;2;2;60%;40%;14;22;4;9;6;4;4;9;;;1;5;2;0;;;7;2;10;18;2;4;460;387;;;9;13;89;103;43;36;;;;
8;BSAD;Tondela;0;2;54%;46%;13;10;2;5;6;5;5;0;;;1;4;6;2;;;3;2;21;11;5;2;442;407;;;27;21;150;100;66;32;;;;
8;Arouca;Sporting;1;2;47%;53%;10;10;5;8;4;0;1;2;;;4;5;3;3;;;6;4;21;14;3;5;349;481;;;13;17;119;105;28;31;;;;
8;FC Porto;Ferreira;2;1;76%;24%;23;7;8;2;11;3;4;2;;;11;3;0;3;;;1;6;9;19;4;5;554;232;;;6;18;174;68;86;19;1;0;;
8;Vizela;Santa Clara;1;1;52%;48%;16;10;4;1;6;4;6;5;;;6;4;2;2;;;0;3;19;13;6;4;460;421;;;15;19;107;93;54;24;;;;
8;Famalicao;Vitória SC;1;2;53%;47%;15;9;2;5;7;3;6;1;;;8;0;3;2;;;3;1;15;23;2;5;369;342;;;22;21;108;91;43;34;1;0;;
8;Maritimo;Moreirense;0;0;51%;49%;6;18;0;6;4;5;2;7;;;3;7;0;1;;;6;0;19;21;5;3;439;293;;;20;23;78;137;19;61;;;;
7;Boavista;Estoril;1;1;33%;67%;9;9;3;1;4;4;2;4;;;2;13;0;7;;;0;2;15;12;3;2;291;483;;;15;27;65;112;16;52;;;;
7;Ferreira;BSAD;2;2;55%;45%;20;11;5;2;11;5;4;4;;;3;2;3;0;;;0;3;15;21;3;1;355;293;;;10;19;113;96;43;42;;;;
7;Portimonense;Vizela;0;0;67%;33%;14;14;4;2;5;10;5;2;;;7;5;2;1;;;2;4;17;14;4;2;463;296;;;10;17;132;84;64;41;;;;
7;Santa Clara;Braga;1;1;46%;54%;15;10;3;4;6;3;6;3;;;5;5;3;0;;;3;2;12;19;3;1;430;547;;;16;16;96;121;32;42;;;;
7;Tondela;Famalicao;3;2;61%;39%;10;13;4;7;3;3;3;3;;;4;3;4;2;;;5;1;21;11;6;5;486;355;;;16;14;106;95;37;42;0;1;;
7;Vitória SC;Benfica;1;3;48%;52%;13;16;3;4;6;7;4;5;;;5;5;4;1;;;1;2;16;12;0;1;395;489;;;11;16;98;115;58;51;;;;
7;Moreirense;Arouca;2;1;35%;65%;8;17;3;5;5;6;0;6;;;5;9;0;1;;;4;1;20;8;5;2;232;489;;;13;9;78;125;40;64;;;;
7;Gil Vicente;FC Porto;1;2;33%;67%;8;16;4;8;2;4;2;4;;;2;6;1;1;;;6;3;15;17;5;4;330;597;;;18;16;88;137;23;75;;;;
7;Sporting;Maritimo;1;0;72%;28%;25;4;7;0;9;4;9;0;;;9;0;0;1;;;0;6;14;14;4;6;658;267;;;23;24;164;65;76;10;0;1;;
6;Braga;Tondela;3;1;67%;33%;20;3;7;1;9;2;4;0;;;5;0;2;2;;;0;4;9;6;2;4;636;306;;;14;21;144;76;83;18;;;;
6;Benfica;Boavista;3;1;64%;36%;8;10;6;6;2;3;0;1;;;5;4;2;1;;;5;3;16;13;1;3;580;235;;;18;25;119;92;31;26;;;;
6;Estoril;Sporting;0;1;44%;56%;7;11;3;4;3;2;1;5;;;7;9;2;2;;;3;3;10;6;3;2;385;462;;;17;20;68;126;39;48;;;;
6;FC Porto;Moreirense;5;0;63%;37%;18;5;7;0;6;2;5;3;;;6;5;1;2;;;0;2;11;11;2;3;534;245;;;17;17;85;99;48;62;;;;
6;Vizela;Ferreira;1;1;60%;40%;21;10;4;2;10;7;7;1;;;5;4;2;1;;;1;3;14;10;5;2;454;267;;;13;16;107;81;70;42;0;1;;
6;Arouca;Vitória SC;2;2;60%;40%;11;11;5;4;3;4;3;3;;;6;4;1;3;;;2;3;17;10;1;2;457;342;;;17;11;135;79;39;45;;;;
6;BSAD;Gil Vicente;1;1;41%;59%;11;8;4;4;5;2;2;2;;;4;7;4;3;;;3;3;19;15;3;3;373;465;;;18;14;98;124;35;49;;;;
6;Famalicao;Maritimo;0;0;53%;47%;16;2;4;0;11;1;1;1;;;7;5;0;3;;;0;4;20;20;3;3;415;338;;;15;26;111;80;62;36;;;;
6;Portimonense;Santa Clara;2;1;54%;46%;10;13;4;2;3;8;3;3;;;4;2;4;1;;;1;2;21;11;4;3;390;368;;;16;15;105;71;41;40;;;;
5;Tondela;Estoril;1;2;57%;43%;20;11;5;4;9;6;6;1;;;6;5;1;0;;;2;4;18;24;2;7;369;264;;;21;12;121;77;46;42;;;;
5;Maritimo;Arouca;2;2;50%;50%;14;17;6;3;6;10;2;4;;;5;2;1;2;;;1;4;18;19;5;6;393;410;;;21;31;97;125;35;49;1;0;;
5;Vitória SC;BSAD;0;0;45%;55%;11;16;4;6;2;7;5;3;;;5;7;3;0;;;6;4;18;17;5;4;291;498;;;11;13;87;120;51;47;2;0;;
5;Boavista;Portimonense;1;1;46%;54%;11;7;2;3;6;3;3;1;;;9;2;0;0;;;2;1;17;14;3;5;385;424;;;15;18;81;131;41;39;;;;
5;Gil Vicente;Vizela;2;2;58%;42%;21;19;6;6;8;10;7;3;;;9;7;1;6;;;4;4;12;19;3;3;418;243;;;10;17;113;48;51;46;;;;
5;Moreirense;Famalicao;2;2;46%;54%;7;15;3;8;2;2;2;5;;;6;4;1;4;;;6;1;14;10;2;3;253;350;;;15;14;64;89;25;41;;;;
5;Sporting;FC Porto;1;1;55%;45%;9;5;5;1;4;2;0;2;;;5;4;2;3;;;0;4;19;21;6;6;347;402;;;21;12;72;96;37;43;0;1;;
5;Santa Clara;Benfica;0;5;30%;70%;11;8;5;5;2;1;4;2;;;7;2;1;0;;;0;5;20;20;2;1;267;624;;;16;12;78;111;37;31;;;;
5;Ferreira;Braga;0;0;43%;57%;12;10;3;2;6;4;3;4;;;11;5;1;2;;;2;3;14;16;2;0;362;480;;;10;15;57;70;26;44;;;;
4;Portimonense;Ferreira;0;1;52%;48%;18;6;5;2;9;3;4;1;;;7;3;3;1;;;1;5;12;16;2;5;450;311;;;15;17;111;103;55;36;;;;
4;Santa Clara;Gil Vicente;1;0;38%;62%;10;5;4;2;4;2;2;1;;;5;4;2;1;;;2;3;20;13;3;5;241;529;;;12;15;72;121;36;55;1;1;;
4;Benfica;Tondela;2;1;72%;28%;20;3;8;2;7;1;5;0;;;11;0;2;2;;;1;6;11;19;2;3;716;228;;;8;28;195;59;83;16;;;;
4;Braga;Vitória SC;0;0;58%;42%;20;11;6;2;10;4;4;5;;;6;6;1;1;;;2;6;14;16;2;5;565;359;;;12;5;142;77;61;38;;;;
4;Famalicao;Sporting;1;1;40%;60%;14;15;5;5;4;8;5;2;;;2;9;4;3;;;4;4;12;17;4;5;324;473;;;10;18;68;105;39;62;;;;
4;FC Porto;Arouca;3;0;59%;41%;15;8;4;1;10;7;1;0;;;4;5;2;1;;;1;1;16;14;4;3;477;322;;;23;20;134;79;65;15;;;;
4;Vizela;Boavista;1;1;53%;47%;16;5;4;1;7;2;5;2;;;11;2;1;0;;;0;3;17;10;3;3;405;335;;;13;16;123;75;49;28;;;;
4;Estoril;Maritimo;2;1;42%;58%;9;7;3;2;4;3;2;2;;;1;4;0;4;;;1;1;21;24;7;6;303;448;;;20;17;91;91;41;31;;;;
4;BSAD;Moreirense;1;1;49%;51%;6;20;1;6;4;6;1;8;;;3;11;1;5;;;5;0;12;13;6;4;364;422;;;16;7;72;113;27;83;1;0;;
3;Boavista;Santa Clara;2;0;47%;53%;9;11;4;2;4;6;1;3;;;5;5;1;1;;;2;2;16;12;3;3;374;422;;;21;22;90;101;28;35;;;;
3;Ferreira;Estoril;1;3;42%;58%;10;14;2;4;5;7;3;3;;;5;4;0;6;;;1;1;24;12;3;3;354;372;;;10;14;88;90;35;41;;;;
3;Vitória SC;Vizela;4;0;63%;37%;20;4;8;2;7;2;5;0;;;8;2;2;4;;;2;4;15;17;4;4;457;289;;;11;12;113;64;68;18;;;;
3;Maritimo;FC Porto;1;1;42%;58%;5;16;1;5;4;9;0;2;;;3;4;3;0;;;4;0;21;18;4;1;306;469;;;23;17;58;187;18;61;;;;
3;Tondela;Portimonense;0;3;57%;43%;11;7;3;5;5;1;3;1;;;6;5;0;2;;;2;3;14;18;4;4;458;291;;;5;15;123;70;45;29;;;;
3;Sporting;BSAD;2;0;68%;32%;26;3;7;0;12;3;7;0;;;10;0;1;2;;;0;5;15;12;2;2;656;289;;;18;18;134;95;64;15;0;1;;
3;Gil Vicente;Benfica;0;2;39%;61%;5;21;2;7;2;9;1;5;;;3;9;0;2;;;5;2;7;13;3;2;357;573;;;13;18;88;138;20;73;;;;
3;Moreirense;Braga;2;3;49%;51%;13;16;5;7;5;5;3;4;;;6;0;3;1;;;4;3;14;10;4;2;404;526;;;8;11;111;126;55;35;;;;
3;Arouca;Famalicao;2;1;50%;50%;22;10;6;5;10;5;6;0;;;10;9;0;2;;;4;4;18;22;4;4;346;366;;;16;19;104;116;71;40;;;;
2;BSAD;Maritimo;1;2;46%;54%;5;13;2;4;3;5;0;4;;;3;4;1;0;;;2;1;22;21;4;5;306;397;;;15;19;100;104;23;32;;;;
2;Boavista;Ferreira;3;0;33%;67%;8;17;4;5;3;6;1;6;;;2;8;0;0;;;5;1;16;15;3;2;258;530;;;18;13;72;117;20;42;;;;
2;Santa Clara;Moreirense;2;2;53%;47%;15;10;3;4;10;5;2;1;;;5;4;5;2;;;2;2;13;21;5;4;357;323;;;8;12;86;89;20;34;0;1;;
2;Famalicao;FC Porto;1;2;43%;57%;7;12;1;4;3;4;3;4;;;3;2;4;1;;;2;0;16;14;3;1;288;536;;;22;20;74;124;32;40;;;;
2;Portimonense;Gil Vicente;0;1;51%;49%;18;7;5;4;8;1;5;2;;;5;4;0;0;;;3;5;11;18;3;2;465;411;;;18;14;107;99;38;31;;;;
2;Braga;Sporting;1;2;47%;53%;16;5;6;3;7;2;3;0;;;6;5;1;1;;;1;5;18;14;3;4;447;392;;;11;16;110;89;42;17;0;1;;
2;Benfica;Arouca;2;0;59%;41%;17;3;5;1;12;1;0;1;;;4;2;8;1;;;1;3;17;2;1;0;599;324;;;26;18;154;55;114;14;0;1;;
2;Vizela;Tondela;2;1;46%;54%;20;8;6;2;9;4;5;2;;;11;4;0;1;;;1;4;18;11;2;3;342;449;;;15;11;78;60;66;33;;;;
2;Estoril;Vitória SC;0;0;48%;52%;7;12;1;2;6;6;0;4;;;4;9;2;0;;;2;1;15;14;1;4;386;404;;;14;9;72;111;45;44;0;1;;
1;Gil Vicente;Boavista;3;0;59%;41%;9;13;6;5;3;5;0;3;;;1;5;1;3;;;5;3;21;10;3;3;558;360;;;14;20;129;89;35;38;;;;
1;Ferreira;Famalicao;2;0;60%;40%;20;10;3;2;10;6;7;2;;;6;3;0;3;;;2;1;33;20;2;4;449;334;;;17;18;108;76;62;34;;;;
1;FC Porto;BSAD;2;0;71%;29%;21;7;7;3;9;2;5;2;;;8;3;0;2;;;3;5;11;15;2;3;702;250;;;16;16;149;73;91;24;;;;
1;Tondela;Santa Clara;3;0;46%;54%;10;23;5;5;3;15;2;3;;;3;5;1;2;;;5;2;18;12;1;3;329;466;;;20;14;83;128;23;56;;;;
1;Vitória SC;Portimonense;0;1;55%;45%;18;7;3;1;10;4;5;2;;;10;5;2;6;;;0;3;15;12;2;3;445;383;;;15;10;118;90;78;26;;;;
1;Maritimo;Braga;0;2;45%;55%;7;12;0;5;4;6;3;1;;;3;6;1;0;;;3;0;23;12;3;3;357;474;;;19;10;75;130;25;36;;;;
1;Moreirense;Benfica;1;2;35%;65%;10;10;3;6;4;3;3;1;;;0;6;1;0;;;4;2;20;18;4;4;328;523;;;21;14;84;117;29;43;0;1;;
1;Arouca;Estoril;0;2;53%;47%;11;12;3;6;6;5;2;1;;;3;2;3;2;;;4;3;14;13;1;3;508;403;;;12;13;126;89;59;37;;;;
1;Sporting;Vizela;3;0;68%;32%;15;6;5;1;7;4;3;1;;;3;5;2;5;;;1;2;9;16;1;3;609;301;;;13;30;146;84;65;24;;;;
