rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Passes completados_man;Passes completados_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis
19;Sporting;Braga;1;2;60%;40%;13;9;4;3;6;4;3;2;;;3;4;5;0;;;1;3;20;12;3;4;564;357;;;12;16;135;69;44;19;;;;
19;Tondela;Vizela;2;3;55%;45%;12;21;3;8;6;7;3;6;;;6;10;3;2;;;5;1;16;18;5;6;332;292;;;13;15;90;82;30;70;;;;
19;Moreirense;Santa Clara;0;2;51%;49%;11;10;3;3;4;5;4;2;;;2;3;2;1;;;1;3;12;14;2;2;416;346;;;16;19;115;95;56;36;1;0;;
19;Ferreira;Boavista;1;1;49%;51%;11;18;3;9;4;7;4;2;;;7;0;4;0;;;8;2;16;19;4;6;384;408;;;10;12;105;109;29;31;;;;
19;Arouca;Benfica;0;2;44%;56%;8;8;2;6;6;2;0;0;;;2;2;1;3;;;4;2;21;16;5;1;381;550;;;17;17;123;112;22;35;;;;
18;Portimonense;Vitória SC;1;1;65%;35%;15;12;4;6;9;4;2;2;;;6;4;3;1;;;5;3;14;18;4;5;559;246;;;14;18;94;90;63;28;;;;
18;BSAD;FC Porto;1;4;34%;66%;4;24;2;9;1;9;1;6;;;3;8;2;3;;;5;1;13;16;5;3;210;553;;;12;8;48;137;18;54;2;0;;
18;Famalicao;Ferreira;0;0;43%;57%;10;11;6;3;4;4;0;4;;;2;8;2;2;;;3;6;15;21;4;3;359;509;;;6;24;77;96;38;40;1;0;;
18;Vizela;Sporting;0;2;37%;63%;8;14;1;6;4;6;3;2;;;2;4;6;3;;;4;1;15;13;3;3;330;681;;;9;16;89;128;39;52;;;;
18;Santa Clara;Tondela;2;2;49%;51%;18;12;9;7;5;2;4;3;;;11;5;1;1;;;5;7;12;16;1;1;373;430;;;22;16;101;83;56;40;;;;
18;Benfica;Moreirense;1;1;69%;31%;16;9;5;2;10;4;1;3;;;9;1;2;0;;;1;4;13;11;3;5;592;216;;;10;22;143;67;105;25;;;;
18;Braga;Maritimo;0;1;64%;36%;16;8;4;3;6;2;6;3;;;7;4;1;1;;;2;4;19;8;2;1;649;345;;;19;28;177;68;60;33;;;;
18;Boavista;Gil Vicente;1;1;40%;60%;17;4;5;2;8;2;4;0;;;8;5;5;2;;;1;4;9;13;3;2;320;552;;;16;15;90;126;46;59;;;;
16;Famalicao;BSAD;1;0;51%;49%;11;8;2;4;2;2;7;2;;;5;5;0;3;;;4;1;20;20;1;2;368;319;;;8;15;105;96;53;44;;;;
17;Gil Vicente;Vitória SC;3;2;51%;49%;20;10;9;4;6;3;5;3;;;6;1;2;5;5;0;2;6;15;16;2;5;;;;;;;94;105;59;66;0;1;;
17;BSAD;Arouca;2;1;50%;50%;15;10;5;2;8;6;2;2;;;4;2;4;1;;;1;3;20;24;9;3;477;338;;;9;4;115;84;31;23;1;2;;
