rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Passes completados_man;Passes completados_vis;Acerto de passes_man;Acerto de passes_vis
4;Köln;Frankfurt;1;1;44%;56%;9;16;5;4;4;12;18;22;2;8;4;0;15;25;3;4;19;18;3;2;317;500;107;164;29;48;;;;;;;;
4;Monchengladbach;Wolfsburg;1;1;48%;52%;13;14;2;5;11;9;14;18;5;4;2;4;15;33;4;1;14;13;;;403;435;70;74;24;27;;;;;;;;
4;Bielefeld;Bayern;1;4;38%;62%;11;16;5;10;6;6;8;8;6;10;2;2;23;22;6;4;6;6;1;0;356;672;61;152;26;71;0;1;;;;;;
4;Augsburg;RB Leipzig;0;2;37%;63%;6;15;2;6;4;9;13;12;5;8;5;1;18;19;4;2;9;13;0;1;282;621;55;156;14;80;;;;;;;;
4;Freiburg;Bremen;1;1;60%;40%;19;14;4;4;15;10;14;11;4;4;2;1;30;16;3;3;10;14;3;3;519;298;127;73;70;32;;;;;;;;
4;Hertha;Stuttgart;0;2;62%;38%;16;7;4;2;12;5;11;15;6;4;1;1;26;27;0;4;14;10;2;2;539;286;130;97;64;30;;;;;;;;
4;Hoffenheim;Dortmund;0;1;46%;54%;8;15;3;5;5;10;13;12;4;6;0;3;17;27;4;3;13;11;1;1;434;550;118;129;32;44;;;;;;;;
4;Mainz;Leverkusen;0;1;41%;59%;5;9;0;4;5;5;12;16;6;2;5;4;22;23;3;0;12;6;3;1;363;577;89;138;39;45;;;;;;;;
3;Bayern;Hertha;4;3;62%;38%;22;9;9;5;13;4;25;13;6;1;2;6;18;20;2;5;13;19;3;3;576;302;131;58;81;28;;;;;;;;
3;Wolfsburg;Augsburg;0;0;61%;39%;17;9;6;1;11;8;13;9;12;2;3;0;30;21;1;6;7;13;0;1;608;334;146;90;89;41;;;;;;;;
3;RB Leipzig;Schalke;4;0;62%;38%;21;4;7;1;14;3;11;15;8;1;4;1;17;20;1;3;13;10;1;3;606;287;172;73;42;7;;;;;;;;
3;Bremen;Bielefeld;1;0;40%;60%;7;10;2;5;5;5;18;19;2;1;6;2;26;20;5;1;12;16;2;2;294;542;101;108;35;39;;;;;;;;
3;Dortmund;Freiburg;4;0;63%;37%;16;6;7;2;9;4;12;9;3;2;1;0;23;16;2;3;8;12;1;1;763;387;115;105;45;26;;;;;;;;
3;Frankfurt;Hoffenheim;2;1;50%;50%;16;12;8;4;8;8;9;21;5;7;9;1;23;20;3;6;12;8;2;3;472;464;131;116;54;29;;;;;;;;
3;Köln;Monchengladbach;1;3;42%;58%;8;17;3;11;5;6;15;15;4;10;0;2;22;22;8;2;16;12;3;3;385;585;113;109;28;41;;;;;;;;
3;Stuttgart;Leverkusen;1;1;50%;50%;11;15;2;7;9;8;18;10;7;12;2;1;15;15;6;1;8;17;3;2;438;467;112;105;36;41;;;;;;;;
3;Union Berlin;Mainz;4;0;49%;51%;13;5;7;0;6;5;12;15;4;2;2;1;20;30;0;3;13;11;1;4;464;447;114;114;32;30;;;;;;;;
2;Freiburg;Wolfsburg;1;1;52%;48%;21;8;7;2;14;6;13;13;9;1;3;0;20;27;1;6;10;13;0;3;400;368;107;97;60;37;;;;;;;;
2;Hoffenheim;Bayern;4;1;28%;72%;17;14;8;2;9;12;15;15;3;5;1;5;19;19;1;4;15;11;3;2;230;624;78;159;45;68;;;;;;;;
2;Schalke;Bremen;1;3;62%;38%;17;17;4;8;13;9;18;21;8;3;2;3;30;19;5;3;20;14;7;2;474;218;111;112;35;41;1;0;;;;;;
2;Augsburg;Dortmund;2;0;29%;71%;6;16;4;7;2;9;8;10;3;11;3;0;11;28;7;2;7;8;3;4;186;821;44;185;19;96;;;;;;;;
2;Bielefeld;Köln;1;0;50%;50%;7;12;3;2;4;10;15;13;4;7;1;0;31;37;2;2;12;15;3;3;400;430;99;124;36;51;;;;;;;;
2;Leverkusen;RB Leipzig;1;1;59%;41%;11;7;4;2;7;5;10;22;4;1;6;0;21;21;1;3;16;10;1;3;568;385;155;97;45;31;;;;;;;;
2;Mainz;Stuttgart;1;4;52%;48%;11;15;3;7;8;8;17;11;3;9;1;0;21;18;3;2;10;17;2;4;418;418;95;148;35;35;1;1;;;;;;
2;Monchengladbach;Union Berlin;1;1;60%;40%;14;15;5;2;9;13;18;10;7;5;4;1;26;16;1;4;11;15;1;2;632;365;149;98;58;31;;;;;;;;
2;Hertha;Frankfurt;1;3;57%;43%;12;10;6;3;6;7;17;13;4;3;1;1;29;24;0;5;13;16;3;4;450;335;125;93;38;36;;;;;;;;
1;Wolfsburg;Leverkusen;0;0;42%;58%;9;6;1;2;8;4;15;16;4;4;4;3;17;23;2;1;13;12;1;2;379;560;121;126;39;38;;;;;;;;
1;RB Leipzig;Mainz;3;1;68%;32%;23;8;10;1;13;7;13;7;7;5;1;3;17;14;0;7;5;11;1;2;732;254;174;60;57;32;;;;;;;;
1;Dortmund;Monchengladbach;3;0;48%;52%;9;8;4;2;5;6;12;12;1;3;2;3;18;18;2;1;10;9;1;1;516;579;87;122;27;47;;;;;;;;
1;Bremen;Hertha;1;4;42%;58%;17;13;7;6;10;7;16;13;7;4;0;0;26;19;2;6;13;17;2;0;296;394;97;102;43;33;;;;;;;;
1;Frankfurt;Bielefeld;1;1;59%;41%;18;14;6;4;12;10;14;16;14;3;2;1;22;14;3;5;14;13;2;2;544;308;128;69;66;32;;;;;;;;
1;Köln;Hoffenheim;2;3;48%;52%;13;13;6;7;7;6;15;11;1;6;0;2;15;23;4;4;12;13;3;4;430;436;95;107;40;36;;;;;;;;
1;Stuttgart;Freiburg;2;3;59%;41%;22;7;7;6;15;1;19;13;7;2;1;3;24;22;3;5;12;16;2;2;552;296;137;81;53;35;;;;;;;;
1;Union Berlin;Augsburg;1;3;56%;44%;13;9;3;5;10;4;10;14;8;1;4;1;27;18;2;2;9;9;2;0;499;342;130;72;60;25;;;;;;;;
1;Bayern;Schalke;8;0;61%;39%;22;5;12;1;10;4;14;14;9;2;3;3;21;16;1;4;11;12;1;2;619;372;153;62;59;17;;;;;;;;
