rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Passes completados_man;Passes completados_vis;Acerto de passes_man;Acerto de passes_vis
27;Monchengladbach;Freiburg;2;1;48%;52%;19;7;5;4;14;3;17;13;0;3;3;3;23;24;3;3;11;14;1;3;481;515;112;135;33;32;;;;;;;;
27;RB Leipzig;Bayern;0;1;52%;48%;13;9;3;5;10;4;15;19;8;4;6;5;22;22;4;3;13;9;3;2;524;467;134;79;64;37;;;;;;;;
27;Augsburg;Hoffenheim;2;1;39%;61%;7;16;2;6;5;10;12;12;2;10;4;1;16;24;5;0;7;11;1;1;282;679;90;146;24;84;;;;;;;;
27;Dortmund;Frankfurt;1;2;56%;44%;20;15;7;3;13;12;14;14;10;2;5;2;17;25;1;6;9;12;0;3;505;370;119;101;82;39;;;;;;;;
27;Leverkusen;Schalke;2;1;60%;40%;6;4;2;2;4;2;11;14;5;4;1;2;20;12;1;0;13;9;1;0;753;421;135;117;38;27;;;;;;;;
27;Mainz;Bielefeld;1;1;56%;44%;12;9;5;2;7;7;10;27;2;3;1;1;25;21;1;4;27;10;4;1;425;302;119;95;44;40;;;;;;;;
27;Wolfsburg;Köln;1;0;54%;46%;13;10;6;1;7;9;11;19;5;4;1;1;20;30;1;5;18;11;2;1;475;436;136;106;55;49;;;;;;;;
26;Freiburg;Augsburg;2;0;57%;43%;10;19;3;8;7;11;14;21;3;5;1;1;25;20;8;1;21;13;7;2;395;302;97;89;31;44;;;;;;;;
26;Hertha;Leverkusen;3;0;34%;66%;13;9;10;1;3;8;21;14;4;8;3;1;20;19;1;7;10;20;0;2;236;587;87;142;31;59;;;;;;;;
26;Hoffenheim;Mainz;1;2;62%;38%;8;16;2;7;6;9;13;14;2;9;0;1;26;21;5;1;14;12;;;569;295;143;102;50;41;;;;;;;;
26;Schalke;Monchengladbach;0;3;34%;66%;4;21;1;7;3;14;10;15;2;7;7;2;12;30;4;1;8;8;1;2;308;732;76;140;18;55;;;;;;;;
26;Bayern;Stuttgart;4;0;43%;57%;15;12;7;4;8;8;14;11;1;3;1;2;15;12;4;3;10;12;1;2;442;601;74;161;29;58;1;0;;;;;;
26;Bremen;Wolfsburg;1;2;48%;52%;11;16;4;5;7;11;11;17;3;9;1;1;18;19;3;3;15;15;3;1;454;431;120;132;38;53;;;;;;;;
26;Frankfurt;Union Berlin;5;2;55%;45%;9;24;5;8;4;16;12;11;2;4;2;2;12;28;6;1;9;10;1;2;541;434;125;117;23;43;;;;;;;;
26;Köln;Dortmund;2;2;44%;56%;10;13;2;4;8;9;13;6;5;2;2;2;20;21;2;0;4;12;1;1;427;566;96;110;40;47;;;;;;;;
26;Bielefeld;RB Leipzig;0;1;25%;75%;5;20;0;8;5;12;15;11;1;7;1;3;14;16;7;0;10;12;2;1;193;890;72;164;26;71;;;;;;;;
25;Stuttgart;Hoffenheim;2;0;45%;55%;7;16;4;5;3;11;10;16;4;4;1;1;27;21;5;2;14;9;0;2;430;579;109;142;34;53;;;;;;;;
25;RB Leipzig;Frankfurt;1;1;54%;46%;14;5;8;2;6;3;22;18;4;3;4;1;32;21;1;7;14;21;2;3;467;357;129;84;59;34;;;;;;;;
25;Leverkusen;Bielefeld;1;2;67%;33%;20;10;8;5;12;5;11;18;9;5;2;2;22;12;3;7;16;9;2;1;769;259;155;81;82;41;;;;;;;;
25;Dortmund;Hertha;2;0;68%;32%;14;4;4;0;10;4;10;9;7;0;3;0;23;15;0;2;6;11;1;1;799;310;173;75;75;30;0;1;;;;;;
25;Bremen;Bayern;1;3;43%;57%;9;22;4;6;5;16;13;8;3;8;3;7;16;10;3;3;5;9;1;0;510;670;67;186;25;83;;;;;;;;
25;Mainz;Freiburg;1;0;50%;50%;10;13;7;3;3;10;15;25;0;4;1;0;14;18;3;6;24;15;1;3;428;452;122;100;50;34;;;;;;;;
25;Union Berlin;Köln;2;1;41%;59%;13;9;8;5;5;4;12;21;6;6;2;0;34;17;4;6;20;13;2;3;373;574;101;123;43;40;;;;;;;;
25;Wolfsburg;Schalke;5;0;52%;48%;16;7;7;1;9;6;10;18;3;8;6;2;25;30;1;3;12;8;0;1;449;380;136;90;48;35;;;;;;;;
25;Augsburg;Monchengladbach;3;1;47%;53%;10;28;3;8;7;20;16;8;1;10;3;5;20;18;7;0;6;10;;;329;605;91;153;25;65;;;;;;;;
20;Bielefeld;Bremen;0;2;60%;40%;22;5;7;2;15;3;10;13;9;0;1;1;35;22;0;7;12;9;0;2;479;313;128;67;44;21;1;0;;;;;;
24;Bielefeld;Union Berlin;0;0;43%;57%;5;7;3;3;2;4;12;11;3;3;1;7;23;17;3;3;9;5;;;434;634;102;96;35;47;;;;;;;;
24;Köln;Bremen;1;1;65%;35%;16;11;4;5;12;6;10;17;9;3;5;0;23;15;4;3;13;10;2;0;606;267;155;85;98;29;;;;;;;;
24;Bayern;Dortmund;4;2;65%;35%;25;4;9;3;16;1;14;9;6;0;0;2;26;11;1;5;8;13;1;1;690;354;158;58;105;21;;;;;;;;
24;Frankfurt;Stuttgart;1;1;58%;42%;19;8;8;1;11;7;18;16;13;4;1;1;22;25;0;7;15;17;2;3;490;336;115;81;79;38;;;;;;;;
24;Freiburg;RB Leipzig;0;3;46%;54%;5;13;1;8;4;5;14;10;1;2;0;1;25;21;5;1;10;13;1;1;382;523;57;83;30;44;;;;;;;;
24;Hertha;Augsburg;2;1;66%;34%;17;7;7;4;10;3;12;19;6;1;2;2;29;21;3;5;15;13;2;3;489;234;110;65;61;23;;;;;;;;
24;Hoffenheim;Wolfsburg;2;1;40%;60%;9;17;4;5;5;12;20;13;2;6;0;5;26;21;4;2;13;15;2;4;335;569;87;115;38;50;0;1;;;;;;
24;Monchengladbach;Leverkusen;0;1;45%;55%;7;13;3;5;4;8;12;7;7;8;3;2;20;20;4;3;6;10;0;2;422;574;78;90;33;36;;;;;;;;
24;Schalke;Mainz;0;0;50%;50%;2;19;2;2;0;17;18;11;2;6;1;2;28;36;2;2;10;16;2;2;346;341;104;148;11;72;;;;;;;;
23;Leverkusen;Freiburg;1;2;65%;35%;21;6;5;3;16;3;13;12;8;3;1;1;17;15;1;4;12;11;2;3;659;341;125;68;57;39;;;;;;;;
23;Mainz;Augsburg;0;1;58%;42%;10;8;5;3;5;5;9;11;5;3;2;2;43;23;2;5;9;7;1;2;427;245;137;82;87;28;;;;;;;;
23;Union Berlin;Hoffenheim;1;1;49%;51%;4;15;1;4;3;11;13;22;3;4;9;2;17;26;3;0;13;12;0;2;480;549;107;131;31;46;;;;;;;;
23;RB Leipzig;Monchengladbach;3;2;58%;42%;20;5;11;2;9;3;16;24;3;4;4;1;22;24;0;8;20;15;2;2;635;320;126;76;91;41;;;;;;;;
23;Bayern;Köln;5;1;54%;46%;15;6;7;3;8;3;12;8;4;4;1;2;25;22;2;2;7;9;2;1;630;502;124;87;90;58;;;;;;;;
23;Dortmund;Bielefeld;3;0;61%;39%;20;8;9;2;11;6;16;14;5;2;2;1;14;15;2;6;12;16;0;3;613;361;104;90;57;28;;;;;;;;
23;Stuttgart;Schalke;5;1;48%;52%;19;11;10;5;9;6;19;14;11;9;0;1;12;22;4;5;15;18;2;3;395;426;91;86;73;68;;;;;;;;
23;Wolfsburg;Hertha;2;0;58%;42%;11;7;2;2;9;5;16;18;3;5;3;2;18;22;2;1;15;14;5;0;454;305;125;114;77;66;1;0;;;;;;
23;Bremen;Frankfurt;2;1;37%;63%;9;13;5;4;4;9;16;12;2;8;2;2;14;22;3;3;9;15;4;3;297;646;92;171;16;85;;;;;;;;
22;Hoffenheim;Bremen;4;0;51%;49%;12;3;6;1;6;2;16;19;6;3;1;5;22;12;1;2;16;12;2;2;465;446;121;107;52;28;;;;;;;;
22;Hertha;RB Leipzig;0;3;51%;49%;8;14;4;7;4;7;10;15;3;4;6;1;25;22;4;4;10;8;1;1;425;469;97;121;27;37;;;;;;;;
22;Augsburg;Leverkusen;1;1;33%;67%;6;10;3;3;3;7;18;20;1;4;4;2;18;25;2;2;16;13;2;4;228;665;68;164;16;62;;;;;;;;
22;Schalke;Dortmund;0;4;42%;58%;13;9;2;6;11;3;12;9;4;2;1;0;18;23;2;2;9;13;2;2;353;587;76;133;35;40;;;0;0;;;;
22;Frankfurt;Bayern;2;1;43%;57%;12;22;6;6;6;16;8;14;6;10;1;1;15;25;5;4;12;7;2;1;364;538;106;117;29;76;;;;;;;;
22;Freiburg;Union Berlin;0;1;63%;37%;9;15;1;4;8;11;15;16;2;4;0;0;33;10;3;1;15;14;2;2;539;276;124;73;50;34;;;;;;;;
22;Köln;Stuttgart;0;1;50%;50%;9;9;0;3;9;6;14;15;0;6;0;4;27;16;2;0;15;10;2;1;544;484;94;125;29;33;;;;;;;;
22;Monchengladbach;Mainz;1;2;64%;36%;12;8;3;6;9;2;18;19;4;4;6;2;26;19;4;2;10;16;1;1;637;282;130;85;47;28;;;;;;;;
22;Bielefeld;Wolfsburg;0;3;45%;55%;7;11;2;6;5;5;16;12;3;8;1;3;20;29;3;2;10;14;0;2;396;484;75;90;48;65;;;;;;;;
21;Bayern;Bielefeld;3;3;65%;35%;19;7;11;3;8;4;14;10;5;2;3;1;29;22;0;8;7;13;1;1;616;327;194;66;77;19;;;;;;;;
21;Wolfsburg;Monchengladbach;0;0;55%;45%;18;12;6;4;12;8;12;13;9;6;3;1;32;14;4;6;10;11;1;3;514;450;154;89;72;35;;;;;;;;
21;Frankfurt;Köln;2;0;58%;42%;17;6;7;1;10;5;8;16;7;2;2;4;24;22;1;5;14;4;3;1;598;389;142;106;53;33;;;;;;;;
21;Union Berlin;Schalke;0;0;38%;62%;19;6;3;1;16;5;14;16;1;6;2;0;22;25;1;3;14;15;3;2;308;538;105;124;36;58;;;;;;;;
21;Bremen;Freiburg;0;0;45%;55%;12;8;4;2;8;6;20;1;4;1;0;0;13;13;2;4;4;20;0;2;464;536;90;119;28;38;;;;;;;;
21;Dortmund;Hoffenheim;2;2;53%;47%;7;13;4;6;3;7;15;25;1;7;3;0;19;21;4;2;21;16;3;7;453;354;120;127;40;47;;;;;;;;
21;Leverkusen;Mainz;2;2;66%;34%;11;19;5;6;6;13;20;14;2;2;0;4;30;14;4;3;13;17;5;1;649;250;132;91;44;50;;;;;;;;
21;Stuttgart;Hertha;1;1;53%;47%;11;11;3;3;8;8;20;23;1;5;0;3;14;23;2;2;21;17;2;2;485;443;129;100;36;42;;;;;;;;
21;RB Leipzig;Augsburg;2;1;58%;42%;16;4;6;2;10;2;16;26;3;4;4;1;15;12;1;4;23;15;3;5;542;333;124;93;31;27;;;;;;;;
20;Hoffenheim;Frankfurt;1;3;55%;45%;8;9;2;5;6;4;16;17;4;7;1;4;26;23;2;1;15;12;0;3;441;503;117;104;48;46;;;;;;;;
20;Monchengladbach;Köln;1;2;60%;40%;10;7;2;3;8;4;16;20;4;1;3;4;20;18;1;1;17;11;4;2;690;377;145;61;52;17;;;;;;;;
20;Augsburg;Wolfsburg;0;2;43%;57%;9;17;1;9;8;8;20;12;7;4;1;6;28;20;7;1;10;15;2;0;385;474;86;128;34;34;;;;;;;;
20;Freiburg;Dortmund;2;1;37%;63%;6;16;3;5;3;11;12;16;1;1;2;1;18;18;4;1;12;12;1;2;313;677;69;144;24;54;;;;;;;;
20;Leverkusen;Stuttgart;5;2;56%;44%;25;14;11;7;14;7;12;12;4;4;1;3;16;23;5;6;12;9;;;490;376;110;92;51;33;;;;;;;;
20;Mainz;Union Berlin;1;0;45%;55%;9;10;5;3;4;7;14;13;3;1;1;4;26;32;3;4;12;11;2;5;322;451;93;124;54;44;0;1;;;;;;
20;Schalke;RB Leipzig;0;3;38%;62%;3;24;1;10;2;14;19;17;1;7;2;3;18;26;7;1;14;16;2;1;335;558;64;151;10;66;;;;;;;;
20;Hertha;Bayern;0;1;41%;59%;11;17;7;7;4;10;17;20;3;11;6;3;18;22;6;7;12;15;2;1;331;523;85;141;30;72;;;;;;;;
19;Wolfsburg;Freiburg;3;0;47%;53%;12;9;6;2;6;7;11;14;5;10;1;1;19;22;2;3;13;10;;;354;414;102;113;43;49;;;;;;;;
19;Köln;Bielefeld;3;1;46%;54%;14;9;7;3;7;6;19;17;3;5;2;2;25;19;2;4;15;17;2;1;338;429;99;109;40;36;;;;;;;;
19;RB Leipzig;Leverkusen;1;0;45%;55%;16;8;2;4;14;4;19;15;6;6;4;4;15;19;4;1;11;15;2;2;410;486;95;132;43;41;;;;;;;;
19;Bayern;Hoffenheim;4;1;60%;40%;15;14;9;5;6;9;11;15;10;4;5;3;24;11;4;5;10;8;1;0;618;395;100;40;59;20;;;;;;;;
19;Bremen;Schalke;1;1;45%;55%;15;6;6;1;9;5;18;15;6;1;3;1;17;17;0;5;11;20;0;4;471;506;60;101;21;20;;;;;;;;
19;Dortmund;Augsburg;3;1;63%;37%;14;5;5;1;9;4;11;13;10;1;1;1;18;19;0;3;12;11;0;1;706;325;121;23;61;3;;;;;;;;
19;Frankfurt;Hertha;3;1;59%;41%;17;11;8;4;9;7;16;17;4;7;0;4;26;21;3;5;17;14;1;4;553;344;103;43;37;10;;;;;;;;
19;Union Berlin;Monchengladbach;1;1;43%;57%;13;12;3;4;10;8;17;12;2;9;1;2;17;19;3;2;12;13;1;3;435;603;63;73;15;26;;;;;;;;
19;Stuttgart;Mainz;2;0;53%;47%;9;10;3;2;6;8;21;11;2;4;3;0;26;28;2;1;9;20;1;4;387;332;102;121;30;62;;;;;;;;
18;Hoffenheim;Köln;3;0;52%;48%;13;13;4;4;9;9;15;7;6;9;0;2;32;24;4;1;8;13;2;3;402;479;114;122;43;69;;;;;;;;
18;Schalke;Bayern;0;4;42%;58%;14;32;4;14;10;18;10;7;3;7;2;1;14;21;10;4;5;9;1;1;362;516;89;135;30;104;;;;;;;;
18;Hertha;Bremen;1;4;62%;38%;18;7;10;5;8;2;11;18;7;1;2;0;25;20;1;9;16;12;2;3;524;263;175;69;91;14;;;;;;;;
18;Augsburg;Union Berlin;2;1;42%;58%;8;9;4;5;4;4;23;14;2;3;1;2;12;21;4;2;13;21;3;1;299;534;59;148;25;64;;;;;;;;
18;Bielefeld;Frankfurt;1;5;45%;55%;8;15;4;8;4;7;24;17;0;8;3;2;17;14;3;3;14;22;2;2;414;531;94;112;27;43;;;;;;;;
18;Freiburg;Stuttgart;2;1;42%;58%;9;27;4;11;5;16;14;19;3;5;0;2;17;25;10;2;20;12;2;0;274;458;91;128;36;62;;;;;;;;
18;Leverkusen;Wolfsburg;0;1;60%;40%;10;8;4;4;6;4;8;16;6;2;3;1;40;19;3;4;13;7;1;1;588;300;166;82;57;37;;;;;;;;
18;Mainz;RB Leipzig;3;2;39%;61%;10;12;4;5;6;7;17;15;3;9;2;0;18;33;3;1;13;16;2;4;255;571;124;133;31;54;;;;;;;;
18;Monchengladbach;Dortmund;4;2;41%;59%;10;16;7;7;3;9;10;9;3;7;0;1;16;16;5;3;9;9;1;0;453;610;95;110;16;64;;;;;;;;
17;Augsburg;Bayern;0;1;40%;60%;9;17;0;4;9;13;15;16;5;7;2;4;27;20;3;0;15;11;2;0;296;518;84;134;35;63;;;;;;;;
17;Bielefeld;Stuttgart;3;0;39%;61%;9;11;3;3;6;8;9;10;2;6;1;1;14;16;3;0;9;9;1;0;297;612;81;117;31;55;;;;;;;;
17;Freiburg;Frankfurt;2;2;42%;58%;11;16;4;3;7;13;16;11;4;5;0;1;24;27;2;2;10;15;3;3;299;493;114;132;42;55;;;;;;;;
17;RB Leipzig;Union Berlin;1;0;64%;36%;15;4;5;1;10;3;14;6;5;1;0;3;25;20;1;4;6;11;1;1;767;348;187;83;54;25;;;;;;;;
17;Schalke;Köln;1;2;61%;39%;15;13;8;4;7;9;14;9;5;8;2;3;29;13;2;7;7;11;2;1;544;296;139;92;55;26;;;;;;;;
17;Hertha;Hoffenheim;0;3;57%;43%;13;11;2;6;11;5;16;15;3;2;1;1;24;17;3;2;16;16;1;1;463;341;134;92;52;28;;;;;;;;
17;Leverkusen;Dortmund;2;1;48%;52%;23;15;13;3;10;12;9;14;6;5;2;1;9;18;2;11;13;8;2;2;489;540;99;119;34;58;;;;;;;;
17;Mainz;Wolfsburg;0;2;38%;62%;8;8;0;2;8;6;18;20;2;5;4;3;29;30;0;0;17;15;1;2;255;457;115;112;36;38;;;;;;;;
17;Monchengladbach;Bremen;1;0;56%;44%;11;11;6;2;5;9;12;18;7;5;3;1;25;17;2;5;15;11;2;2;590;409;149;68;57;26;;;;;;;;
16;Frankfurt;Schalke;3;1;64%;36%;20;5;11;1;9;4;11;9;8;2;2;1;25;21;0;8;8;10;0;1;634;307;113;67;87;41;;;;;;;;
16;Bayern;Freiburg;2;1;60%;40%;25;8;9;3;16;5;15;7;14;3;1;0;18;17;2;7;4;14;1;2;547;371;123;83;60;41;;;;;;;;
16;Stuttgart;Monchengladbach;2;2;58%;42%;19;8;7;5;12;3;20;10;5;2;0;0;30;12;3;5;11;20;2;3;608;412;149;102;56;31;;;;;608;412;;
16;Bremen;Augsburg;2;0;48%;52%;10;6;5;2;5;4;15;11;4;4;2;1;19;23;2;3;10;18;0;1;438;450;110;128;28;38;;;;;;;;
16;Dortmund;Mainz;1;1;69%;31%;17;8;7;3;10;5;19;14;1;2;4;0;13;19;2;6;10;19;1;2;718;251;171;76;85;25;;;;;;;;
16;Hoffenheim;Bielefeld;0;0;60%;40%;11;8;5;2;6;6;23;11;5;3;2;4;25;17;2;5;9;21;1;1;493;440;137;111;55;27;;;;;;;;
16;Köln;Hertha;0;0;48%;52%;8;14;2;3;6;11;19;15;5;4;2;0;15;18;3;2;13;19;2;3;411;426;103;130;38;45;;;;;;;;
16;Wolfsburg;RB Leipzig;2;2;53%;47%;8;13;2;9;6;4;9;18;6;6;2;0;23;27;7;0;16;9;4;3;404;442;140;89;49;56;;;;;;;;
16;Union Berlin;Leverkusen;1;0;37%;63%;10;13;3;4;7;9;10;9;2;3;0;0;18;28;4;2;9;10;1;2;327;713;88;194;22;49;;;;;;;;
15;Bielefeld;Hertha;1;0;49%;51%;12;10;2;6;10;4;23;9;8;3;1;4;21;20;6;1;8;18;1;1;399;412;146;110;50;37;;;;;;;;
15;Augsburg;Stuttgart;1;4;48%;52%;14;28;4;11;10;17;15;6;4;11;0;2;12;25;7;3;7;12;3;2;379;486;86;104;30;55;1;0;;;;;;
15;RB Leipzig;Dortmund;1;3;53%;47%;12;15;4;7;8;8;15;8;3;3;0;2;20;25;4;3;8;12;0;2;552;441;150;104;49;38;;;;;;;;
15;Freiburg;Köln;5;0;50%;50%;12;5;6;2;6;3;11;18;1;3;3;2;15;29;2;1;14;10;;;458;447;111;112;36;35;;;;;;;;
15;Leverkusen;Bremen;1;1;68%;32%;12;3;3;1;9;2;16;25;3;1;3;2;21;12;0;2;22;13;2;2;705;242;215;62;56;18;;;;;;;;
15;Mainz;Frankfurt;0;2;42%;58%;8;15;0;7;8;8;18;15;3;7;1;2;25;32;5;0;17;15;2;1;294;437;110;106;46;51;;;;;;;;
15;Schalke;Hoffenheim;4;0;44%;56%;12;18;5;5;7;13;14;19;5;4;4;1;16;26;5;1;14;13;2;4;334;492;96;127;32;47;;;;;;;;
15;Union Berlin;Wolfsburg;2;2;46%;54%;13;11;6;5;7;6;13;16;5;3;1;0;19;22;3;4;16;13;3;1;414;450;113;112;46;37;0;1;;;;;;
15;Monchengladbach;Bayern;3;2;35%;65%;8;15;4;4;4;11;16;11;3;8;3;4;14;18;2;1;9;11;1;1;354;710;50;145;18;75;;;;;;;;
14;Bayern;Mainz;5;2;68%;32%;19;12;12;7;7;5;8;11;10;2;1;1;16;19;5;7;11;9;2;1;722;269;126;62;85;40;;;;;;;;
14;Dortmund;Wolfsburg;2;0;56%;44%;14;22;7;5;7;17;12;11;10;5;2;0;18;16;5;5;9;12;3;1;530;339;121;84;59;36;;;;;;;;
14;Stuttgart;RB Leipzig;0;1;46%;54%;10;22;1;9;9;13;14;11;3;6;2;3;22;18;8;1;10;10;2;1;436;537;109;122;48;52;;;;;;;;
14;Hertha;Schalke;3;0;62%;38%;20;10;10;4;10;6;19;16;9;5;6;1;15;15;4;7;11;18;2;2;446;261;106;70;56;27;;;;;;;;
14;Bielefeld;Monchengladbach;0;1;45%;55%;7;22;0;7;7;15;12;10;3;14;2;5;16;21;6;0;8;7;2;1;357;510;84;108;58;97;;;;;;;;
14;Bremen;Union Berlin;0;2;56%;44%;10;9;2;2;8;7;15;12;6;5;2;3;20;22;0;2;15;14;2;4;499;351;133;93;40;31;;;;;;;;
14;Frankfurt;Leverkusen;2;1;36%;64%;10;10;4;2;6;8;9;10;2;7;1;3;21;26;1;2;9;6;;;310;602;87;116;65;93;;;;;;;;
14;Hoffenheim;Freiburg;1;3;71%;29%;14;8;6;5;8;3;24;14;8;3;0;2;20;21;3;5;14;22;2;2;609;241;154;86;79;50;;;;;;;;
14;Köln;Augsburg;0;1;47%;53%;12;11;2;4;10;7;16;23;8;3;3;5;29;26;3;2;20;12;2;3;359;457;106;106;41;41;;;;;;;;
13;Wolfsburg;Stuttgart;1;0;50%;50%;13;9;4;1;9;8;10;15;4;6;0;3;22;25;1;3;15;7;2;3;423;469;92;105;49;57;;;;;;;;
13;Freiburg;Hertha;4;1;42%;58%;17;10;9;3;8;7;17;11;7;3;2;2;31;16;2;5;9;16;;;331;463;113;106;56;33;;;;;;;;
13;Leverkusen;Bayern;1;2;52%;48%;8;14;3;3;5;11;8;18;5;7;5;2;20;23;1;2;13;6;1;1;511;485;112;98;57;50;;;;;;;;
13;Augsburg;Frankfurt;0;2;47%;53%;15;15;4;6;11;9;13;10;2;4;1;4;22;27;4;4;9;10;1;4;376;462;127;138;65;49;;;;;;;;
13;Mainz;Bremen;0;1;46%;54%;9;13;1;7;8;6;12;15;2;5;0;0;22;20;6;1;15;11;2;2;412;557;112;137;30;51;;;;;;;;
13;Monchengladbach;Hoffenheim;1;2;48%;52%;15;14;5;5;10;9;23;13;3;3;1;2;25;17;3;4;13;22;1;3;451;470;103;131;29;34;1;0;;;;;;
13;RB Leipzig;Köln;0;0;59%;41%;14;4;6;1;8;3;12;15;8;2;4;4;24;18;1;6;11;8;1;0;625;340;177;83;69;12;;;;;;;;
13;Schalke;Bielefeld;0;1;48%;52%;11;8;5;3;6;5;21;20;1;6;3;2;26;22;2;5;17;19;6;5;298;371;111;131;38;56;;;;;;;;
13;Union Berlin;Dortmund;2;1;34%;66%;12;16;5;4;7;12;8;11;8;6;2;0;20;21;3;3;9;7;1;1;261;683;98;144;23;52;;;;;;;;
12;Bayern;Wolfsburg;2;1;58%;42%;13;17;2;7;11;10;20;13;7;7;0;4;28;25;6;1;14;16;3;1;492;321;126;85;49;45;;;;;;;;
12;Bielefeld;Augsburg;0;1;52%;48%;12;8;2;2;10;6;17;16;1;3;1;1;21;31;1;2;14;15;1;2;393;396;137;119;55;32;;;;;;;;
12;Hoffenheim;RB Leipzig;0;1;46%;54%;7;4;3;3;4;1;18;19;5;5;3;3;16;26;2;3;16;14;2;0;390;488;117;121;36;33;;;;;;;;
12;Köln;Leverkusen;0;4;38%;62%;7;14;1;7;6;7;18;14;2;6;2;4;17;26;3;1;12;12;1;1;317;647;85;121;33;43;;;;;;;;
12;Schalke;Freiburg;0;2;52%;48%;10;11;2;5;8;6;11;15;2;3;0;1;29;23;3;2;15;9;2;1;461;368;111;90;39;35;;;;;;;;
12;Bremen;Dortmund;1;2;48%;52%;7;15;3;9;4;6;16;9;4;4;1;4;13;14;7;2;10;13;3;2;478;553;97;134;28;47;;;;;;;;
12;Hertha;Mainz;0;0;63%;37%;9;5;0;0;9;5;12;17;5;4;0;0;20;26;0;0;17;11;3;1;557;283;152;87;39;34;;;;;;;;
12;Stuttgart;Union Berlin;2;2;60%;40%;13;15;6;6;7;9;16;19;2;3;4;2;26;22;4;4;15;14;3;3;516;300;135;95;35;36;;;;;;;;
12;Frankfurt;Monchengladbach;3;3;43%;57%;11;8;4;4;7;4;18;19;4;5;1;3;21;27;1;1;18;15;6;4;308;486;123;120;26;28;1;0;;;;;;
11;Leverkusen;Hoffenheim;4;1;59%;41%;13;11;8;4;5;7;12;16;6;5;4;1;11;17;3;4;12;13;3;6;600;369;109;101;49;48;0;2;;;;;;
11;Augsburg;Schalke;2;2;40%;60%;8;15;4;4;4;11;17;15;2;3;0;4;24;25;2;2;17;13;3;4;267;425;89;118;33;58;1;0;;;;;;
11;Union Berlin;Bayern;1;1;38%;62%;13;15;6;5;7;10;8;18;4;7;2;0;21;23;4;5;17;8;3;2;294;645;94;156;32;53;;;;;;;;
11;Dortmund;Stuttgart;1;5;66%;34%;12;18;4;10;8;8;16;13;8;2;3;3;17;11;5;3;11;13;2;3;744;292;133;65;69;37;;;;;;;;
11;Freiburg;Bielefeld;2;0;50%;50%;16;5;7;1;9;4;14;19;5;4;3;2;20;15;1;5;16;13;3;0;435;493;114;103;44;24;;;;;;;;
11;Mainz;Köln;0;1;58%;42%;15;9;4;6;11;3;12;18;5;3;2;2;35;20;5;4;15;11;4;4;524;322;151;94;55;28;0;1;;;;;;
11;Monchengladbach;Hertha;1;1;54%;46%;17;9;4;3;13;6;19;10;13;2;1;1;25;26;2;3;9;18;3;2;450;365;113;82;67;32;;;;;;;;
11;RB Leipzig;Bremen;2;0;54%;46%;15;7;7;2;8;5;10;18;1;6;2;0;23;24;2;5;17;11;3;1;568;438;155;69;49;30;;;;;;;;
11;Wolfsburg;Frankfurt;2;1;53%;47%;16;7;8;4;8;3;13;10;8;1;2;2;22;22;3;6;10;12;5;2;438;374;134;99;82;34;;;;;;;;
10;Hoffenheim;Augsburg;3;1;60%;40%;10;13;7;3;3;10;15;22;4;3;7;6;20;28;2;4;15;9;0;1;534;425;112;93;56;40;;;;;;;;
10;Schalke;Leverkusen;0;3;37%;63%;13;24;4;9;9;15;11;17;2;8;1;1;26;20;6;4;17;11;2;3;290;543;91;116;30;50;;;;;;;;
10;Bremen;Stuttgart;1;2;51%;49%;14;11;4;7;10;4;15;7;2;4;0;1;21;13;5;3;10;15;4;4;456;412;143;104;43;45;;;;;;;;
10;Bayern;RB Leipzig;3;3;60%;40%;10;8;6;4;4;4;12;5;10;2;0;4;29;29;1;3;5;8;0;1;607;372;156;69;52;15;;;;;;;;
10;Bielefeld;Mainz;2;1;49%;51%;11;15;5;5;6;10;20;17;2;3;1;2;16;37;4;3;16;18;3;2;469;490;120;159;28;43;;;;;;;;
10;Frankfurt;Dortmund;1;1;44%;56%;9;16;1;5;8;11;10;14;6;5;1;4;20;16;4;0;14;6;6;1;404;552;117;123;31;43;;;;;;;;
10;Freiburg;Monchengladbach;2;2;43%;57%;22;11;7;4;15;7;22;11;5;5;1;1;11;23;2;5;12;19;1;2;344;567;110;110;44;44;;;;;;;;
10;Köln;Wolfsburg;2;2;40%;60%;6;16;3;6;3;10;12;14;3;8;2;1;34;11;4;1;12;11;0;1;349;568;100;115;38;49;;;;;;;;
10;Hertha;Union Berlin;3;1;70%;30%;10;4;7;1;3;3;7;18;9;2;0;1;22;13;0;4;15;9;1;3;619;279;161;87;41;23;0;1;;;;;;
